"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000113296",43.2247657735513,-0.651095334958268,0.187401854610107,-3.47432706209276,0.000512136373518008,0.9995261043921
"ENSG00000079689",165.278581667002,-0.715149470833757,0.206041665750582,-3.47089734607107,0.000518722260687175,0.9995261043921
"ENSG00000178473",173.10598007966,-0.554427259198514,0.166786189273484,-3.32417966747476,0.000886790447346461,0.9995261043921
"ENSG00000115828",121.936776319187,-0.36046896866796,0.109259930888106,-3.29918722937066,0.000969652149843161,0.9995261043921
"ENSG00000158089",5.95986470232993,1.71946685673753,0.526726980112174,3.26443664680199,0.0010968198888265,0.9995261043921
"ENSG00000165312",282.292404164866,-0.440396644293412,0.136254775541182,-3.23215566239221,0.00122860108861796,0.9995261043921
"ENSG00000080644",79.7525550586322,-0.724027643053359,0.224125850854797,-3.2304512857039,0.00123594964191552,0.9995261043921
"ENSG00000239291",14.4706909387584,0.876263230293702,0.27523385979112,3.18370432678128,0.00145403451726786,0.9995261043921
"ENSG00000269376",21.4039138005109,-0.92292745555297,0.291058266167871,-3.17093710377792,0.00151948038921276,0.9995261043921
"ENSG00000224165",14.1503817332993,-0.906434482799295,0.286192848580462,-3.16721569841901,0.00153906115815368,0.9995261043921
"ENSG00000157470",57.4579991149792,0.617364480474232,0.195963858640688,3.15039969490602,0.00163047232957624,0.9995261043921
"ENSG00000131096",5317.9867573449,-0.670883668763098,0.216162251942668,-3.10361158219723,0.00191174130822453,0.9995261043921
"ENSG00000109323",408.235076252776,-0.241671960342368,0.078057906772839,-3.09605996796291,0.00196110695694146,0.9995261043921
"ENSG00000157005",1190.79149428331,-1.06795091220786,0.345136073959218,-3.09428944925083,0.00197284910033922,0.9995261043921
"ENSG00000123560",108.221275288824,-0.558543292270452,0.181191007985821,-3.0826214748701,0.00205185967079972,0.9995261043921
"ENSG00000204950",22.9505890325791,-1.03514364650016,0.335843595943509,-3.08221939915827,0.002054633395955,0.9995261043921
"ENSG00000144891",21.053114507146,-0.804464095570344,0.263916005490017,-3.04818229601757,0.00230230215719988,0.9995261043921
"ENSG00000187186",11.9399064370222,-0.935581904782963,0.307883386802296,-3.03875410264906,0.00237558669803372,0.9995261043921
"ENSG00000152049",24.2245358658535,-0.620093915615345,0.206304063714627,-3.00572807171214,0.00264945819575509,0.9995261043921
"ENSG00000159409",81.7682979861375,-0.63926285857952,0.212862093132871,-3.00317848599039,0.00267175687013575,0.9995261043921
"ENSG00000007171",375.514853906624,-0.565699061579969,0.188850968746675,-2.99547873825735,0.00274014403664656,0.9995261043921
"ENSG00000171408",83.2740745007815,-0.446400970952639,0.149938746675999,-2.9772222380734,0.00290873078749544,0.9995261043921
"ENSG00000101773",210.328453767377,0.323211074004553,0.108609402945641,2.97590323893337,0.00292127017699441,0.9995261043921
"ENSG00000087076",50.1757575307966,-0.545080796202307,0.184060778566493,-2.9614174211775,0.00306226599675183,0.9995261043921
"ENSG00000102359",108.034685005331,0.379294076717438,0.128118254726626,2.96049987198749,0.00307140249381038,0.9995261043921
"ENSG00000147257",13.5706169208343,-0.970848145956663,0.328235897191638,-2.95777565544527,0.00309867554426614,0.9995261043921
"ENSG00000105649",58.7953721435708,-0.662762374236357,0.224167758519865,-2.95654637675125,0.00311105441871405,0.9995261043921
"ENSG00000074527",502.536959066129,-0.417552902978866,0.141234758993369,-2.95644575000457,0.00311206972696115,0.9995261043921
"ENSG00000167332",104.670551865274,-0.73046923386235,0.247883108033837,-2.94682941349371,0.00321050259830814,0.9995261043921
"ENSG00000006071",36.9750216257567,-0.671357269193109,0.229403471562125,-2.92653491519328,0.00342761029326444,0.9995261043921
"ENSG00000153002",169.348597371698,-1.05785556972957,0.363658615912567,-2.908924808711,0.00362674075558227,0.9995261043921
"ENSG00000172410",840.515755938366,-1.05708500558373,0.363690506015984,-2.90655100448862,0.0036543731732132,0.9995261043921
"ENSG00000146469",47.1410199688637,-1.71680701511346,0.590676065858192,-2.90651190110287,0.00365482995712524,0.9995261043921
"ENSG00000169413",186.886928994761,-0.467559301242755,0.161217599484344,-2.90017530802002,0.00372954007786552,0.9995261043921
"ENSG00000166448",8.27799192616831,-1.22184193404578,0.422687514212858,-2.89065064133993,0.00384445230726514,0.9995261043921
"ENSG00000160460",47.14084337376,-0.553303617452422,0.191686724367626,-2.88649941344539,0.00389553473324042,0.9995261043921
"ENSG00000177839",11.4226216679703,-0.99439532423737,0.344776720074068,-2.88417188963264,0.00392444479319712,0.9995261043921
"ENSG00000036565",124.578719990914,-0.546013796581928,0.189823418508164,-2.87643011001008,0.00402201252369606,0.9995261043921
"ENSG00000049246",440.957963715544,-0.484979651917635,0.16869292253306,-2.8749258986997,0.0040412232989721,0.9995261043921
"ENSG00000115263",1683.4981200714,-0.852292925931077,0.297721012025466,-2.86272346090969,0.00420016969467178,0.9995261043921
"ENSG00000132970",98.085533957522,-0.500112319411563,0.17494506070931,-2.85868213360166,0.00425404820737971,0.9995261043921
"ENSG00000150201",15.0092834146757,-0.94685689780354,0.332114894249075,-2.85099197355909,0.00435830696245046,0.9995261043921
"ENSG00000135299",49.5131862081673,-0.559002707386621,0.196192323369909,-2.84925881800509,0.00438212161867004,0.9995261043921
"ENSG00000135119",30.5020790444671,0.644899020594395,0.227707986769255,2.83213175674815,0.00462387913238306,0.9995261043921
"ENSG00000095970",43.3558978649376,-0.771072856519433,0.272394527228852,-2.83072080912851,0.00464432413863997,0.9995261043921
"ENSG00000165731",72.1681587701072,-0.541252570972923,0.191708098431828,-2.82331615304919,0.00475296766863327,0.9995261043921
